hora y día cuando fue detectado el terremoto,lugar del epicentro,magnitud,la mayor intensidad sísmica,hora y día de la emisión,idcountry
2023/05/12 00:32,Interior norte de Prefectura de Akita,2.8,1,2023/05/12 00:35,2
2023/05/11 21:39,"Nakadori, Prefectura de Fukushima",2.9,1,2023/05/11 21:42,2
2023/05/11 18:26,"Región Noto, Prefectura de Ishikawa",2.9,1,2023/05/11 18:29,2
2023/05/11 17:50,"Región Noto, Prefectura de Ishikawa",2.4,1,2023/05/11 17:52,2
2023/05/11 10:50,Mares cercanos de Isla Miyako,4.6,1,2023/05/11 10:53,2
2023/05/11 10:33,Mares cercanos de Isla Miyako,6.1,3,2023/05/11 10:37,2
2023/05/11 07:48,Centro de Prefectura de Nagano,2.1,1,2023/05/11 07:53,2
2023/05/11 07:41,Nodeste de Prefectura de Chiba,3.8,2,2023/05/11 07:44,2
2023/05/11 06:56,Mares cercanos de Isla principal de Okinawa,3.2,1,2023/05/11 07:03,2
2023/05/11 06:52,Este de región Hidaka,5.4,4,2023/05/11 06:56,2
2023/05/11 03:39,Bahía de Toyama,2.3,1,2023/05/11 03:43,2
2023/05/11 02:48,Mares cercanos de Islas Tokara,2.0,1,2023/05/11 02:52,2
2023/05/11 00:45,Mares cercanos de Islas Tokara,2.5,2,2023/05/11 00:48,2
2023/05/11 00:36,Mares cercanos de Islas Tokara,3.1,2,2023/05/11 00:39,2
2023/05/11 00:13,Mares cercanos de Islas Tokara,3.0,1,2023/05/11 00:16,2
2023/05/11 00:11,Mares cercanos de Islas Tokara,4.4,4,2023/05/11 00:14,2
2023/05/10 18:58,Alta mar de Península de Noto,3.4,2,2023/05/10 19:01,2
2023/05/10 16:16,Sur de Prefectura de Chiba,5.4,5+,2023/05/10 16:20,2
2023/05/10 13:02,Pacífico Meridional,7.6,-,2023/05/10 13:31,2
2023/05/10 09:53,Costa norte de Prefectura de Iwate,3.7,1,2023/05/10 09:59,2
2023/05/10 09:54,Alta mar de Península de Noto,5.1,3,2023/05/10 09:58,2
2023/05/10 05:29,Bahía de Toyama,3.0,2,2023/05/10 05:32,2
2023/05/09 23:21,Noroeste de Prefectura de Chiba,4.1,3,2023/05/09 23:24,2
2023/05/09 19:14,Alta mar de Península de Noto,5.0,4,2023/05/09 19:19,2
2023/05/09 15:02,Alta mar de Prefectura de Iwate,4.2,2,2023/05/09 15:07,2
2023/05/09 14:59,"Región Noto, Prefectura de Ishikawa",3.4,1,2023/05/09 15:02,2
2023/05/09 14:40,"Región Kumamoto, Prefectura de Kumamoto",2.9,2,2023/05/09 14:43,2
2023/05/09 11:15,Bahía de Toyama,1.8,1,2023/05/09 11:18,2
2023/05/09 09:32,Alta mar de Prefectura de Iwate,3.8,2,2023/05/09 09:35,2
2023/05/09 01:22,Alta mar este de Prefectura de Aomori,3.7,2,2023/05/09 01:26,2
2023/05/08 23:05,Alta mar de Península de Noto,4.3,2,2023/05/08 23:08,2
2023/05/08 21:06,"Región Noto, Prefectura de Ishikawa",2.2,1,2023/05/08 21:08,2
2023/05/08 17:16,"Región Noto, Prefectura de Ishikawa",4.3,3,2023/05/08 17:20,2
2023/05/08 17:14,"Región Noto, Prefectura de Ishikawa",4.9,4,2023/05/08 17:19,2
2023/05/08 14:40,Mares cercanos de Isla principal de Okinawa,3.4,1,2023/05/08 14:42,2
2023/05/08 14:15,"Región Noto, Prefectura de Ishikawa",2.9,1,2023/05/08 14:17,2
2023/05/08 09:43,Alta mar de Prefectura de Fukushima,3.4,1,2023/05/08 09:46,2
2023/05/08 02:56,"Región Noto, Prefectura de Ishikawa",3.8,2,2023/05/08 02:59,2
2023/05/08 00:16,Alta mar de Península de Noto,3.1,1,2023/05/08 00:19,2
2023/05/07 23:45,"Región Noto, Prefectura de Ishikawa",3.5,2,2023/05/07 23:48,2
2023/05/07 23:05,"Nakadori, Prefectura de Fukushima",3.7,1,2023/05/07 23:08,2
2023/05/07 21:49,Bahía de Toyama,1.9,1,2023/05/07 21:52,2
2023/05/07 06:56,Interior sur de Prefectura de Akita,2.6,2,2023/05/07 06:59,2
2023/05/07 02:35,"Región Noto, Prefectura de Ishikawa",2.6,1,2023/05/07 02:38,2
2023/05/07 02:24,Alta mar de Península de Noto,2.1,1,2023/05/07 02:29,2
2023/05/07 02:11,Alta mar de Península de Noto,2.9,1,2023/05/07 02:13,2
2023/05/07 01:37,"Región Noto, Prefectura de Ishikawa",2.5,1,2023/05/07 01:40,2
2023/05/06 23:44,Alta mar de Península de Noto,3.5,1,2023/05/06 23:47,2
2023/05/06 15:19,"Región Noto, Prefectura de Ishikawa",2.8,1,2023/05/06 15:21,2
2023/05/06 15:04,"Región Noto, Prefectura de Ishikawa",3.3,2,2023/05/06 15:07,2
2023/05/06 13:10,"Región Noto, Prefectura de Ishikawa",3.1,1,2023/05/06 13:12,2
2023/05/06 11:54,Alta mar de Península de Noto,4.1,2,2023/05/06 11:56,2
2023/05/06 08:14,Alta mar de Península de Noto,2.9,1,2023/05/06 08:17,2
2023/05/06 07:56,"Región Noto, Prefectura de Ishikawa",2.7,1,2023/05/06 07:58,2
2023/05/06 00:59,Mares cercanos de Islas de Amamioshima,3.0,1,2023/05/06 01:01,2
2023/05/05 20:48,"Región Noto, Prefectura de Ishikawa",3.0,2,2023/05/05 20:50,2
2023/05/05 18:48,"Región Noto, Prefectura de Ishikawa",3.4,1,2023/05/05 18:51,2
2023/05/05 17:31,"Región Noto, Prefectura de Ishikawa",2.7,1,2023/05/05 17:33,2
2023/05/05 16:44,"Región Noto, Prefectura de Ishikawa",3.1,1,2023/05/05 16:46,2
2023/05/05 14:47,Alta mar este de Prefectura de Aomori,5.5,4,2023/05/05 14:51,2
2023/05/05 14:21,Alta mar de Península de Noto,3.1,1,2023/05/05 14:25,2
2023/05/05 13:45,"Región Noto, Prefectura de Ishikawa",1.8,1,2023/05/05 13:49,2
2023/05/05 13:25,Alta mar de Península de Noto,3.1,1,2023/05/05 13:27,2
2023/05/05 13:02,"Región Noto, Prefectura de Ishikawa",3.7,2,2023/05/05 13:06,2
2023/05/05 13:01,Alta mar Sudeste de Península de Nemuro,4.5,2,2023/05/05 13:05,2
2023/05/05 12:09,Alta mar de Península de Noto,3.1,1,2023/05/05 12:11,2
2023/05/05 11:42,"Región Noto, Prefectura de Ishikawa",2.6,1,2023/05/05 11:45,2
2023/05/05 11:26,"Región Noto, Prefectura de Ishikawa",4.0,2,2023/05/05 11:29,2
2023/05/05 11:18,"Región Noto, Prefectura de Ishikawa",4.5,4,2023/05/05 11:23,2
