Hora y día cuando fue detectado el terremoto;Lugar del epicentro;Magnitud;La mayor intensidad sísmica;Hora y día de la emisión
2023/05/08 07:43;Alta mar de Prefectura de Fukushima;3.4;1;2023/05/08 07:46
2023/05/08 00:56;Región Noto, Prefectura de Ishikawa;3.8;2;2023/05/08 00:59
2023/05/07 22:16;Alta mar de Península de Noto;3.1;1;2023/05/07 22:19
2023/05/07 21:45;Región Noto, Prefectura de Ishikawa;3.5;2;2023/05/07 21:48
2023/05/07 21:05;Nakadori, Prefectura de Fukushima;3.7;1;2023/05/07 21:08
2023/05/07 19:49;Bahía de Toyama;1.9;1;2023/05/07 19:52
2023/05/07 04:56;Interior sur de Prefectura de Akita;2.6;2;2023/05/07 04:59
2023/05/07 00:35;Región Noto, Prefectura de Ishikawa;2.6;1;2023/05/07 00:38
2023/05/07 00:24;Alta mar de Península de Noto;2.1;1;2023/05/07 00:29
2023/05/07 00:11;Alta mar de Península de Noto;2.9;1;2023/05/07 00:13
2023/05/06 23:37;Región Noto, Prefectura de Ishikawa;2.5;1;2023/05/06 23:40
2023/05/06 21:44;Alta mar de Península de Noto;3.5;1;2023/05/06 21:47
2023/05/06 13:19;Región Noto, Prefectura de Ishikawa;2.8;1;2023/05/06 13:21
2023/05/06 13:04;Región Noto, Prefectura de Ishikawa;3.3;2;2023/05/06 13:07
2023/05/06 11:10;Región Noto, Prefectura de Ishikawa;3.1;1;2023/05/06 11:12
2023/05/06 09:54;Alta mar de Península de Noto;4.1;2;2023/05/06 09:56
2023/05/06 06:14;Alta mar de Península de Noto;2.9;1;2023/05/06 06:17
2023/05/06 05:56;Región Noto, Prefectura de Ishikawa;2.7;1;2023/05/06 05:58
2023/05/05 22:59;Mares cercanos de Islas de Amamioshima;3.0;1;2023/05/05 23:01
2023/05/05 18:48;Región Noto, Prefectura de Ishikawa;3.0;2;2023/05/05 18:50
2023/05/05 16:48;Región Noto, Prefectura de Ishikawa;3.4;1;2023/05/05 16:51
2023/05/05 15:31;Región Noto, Prefectura de Ishikawa;2.7;1;2023/05/05 15:33
2023/05/05 14:44;Región Noto, Prefectura de Ishikawa;3.1;1;2023/05/05 14:46
2023/05/05 12:47;Alta mar este de Prefectura de Aomori;5.5;4;2023/05/05 12:51
2023/05/05 12:21;Alta mar de Península de Noto;3.1;1;2023/05/05 12:25
2023/05/05 11:45;Región Noto, Prefectura de Ishikawa;1.8;1;2023/05/05 11:49
2023/05/05 11:25;Alta mar de Península de Noto;3.1;1;2023/05/05 11:27
2023/05/05 11:02;Región Noto, Prefectura de Ishikawa;3.7;2;2023/05/05 11:06
2023/05/05 11:01;Alta mar Sudeste de Península de Nemuro;4.5;2;2023/05/05 11:05
2023/05/05 10:09;Alta mar de Península de Noto;3.1;1;2023/05/05 10:11
2023/05/05 09:42;Región Noto, Prefectura de Ishikawa;2.6;1;2023/05/05 09:45
2023/05/05 09:26;Región Noto, Prefectura de Ishikawa;4.0;2;2023/05/05 09:29
2023/05/05 09:18;Región Noto, Prefectura de Ishikawa;4.5;4;2023/05/05 09:23
2023/05/05 09:07;Región Noto, Prefectura de Ishikawa;3.7;2;2023/05/05 09:09
2023/05/05 08:51;Región Noto, Prefectura de Ishikawa;3.9;3;2023/05/05 08:54
2023/05/05 08:48;Región Noto, Prefectura de Ishikawa;3.3;2;2023/05/05 08:51
2023/05/05 08:46;Región Noto, Prefectura de Ishikawa;3.6;3;2023/05/05 08:49
2023/05/05 08:44;Región Noto, Prefectura de Ishikawa;2.9;1;2023/05/05 08:47
2023/05/05 08:34;Región Noto, Prefectura de Ishikawa;3.6;2;2023/05/05 08:38
2023/05/05 08:34;Región Noto, Prefectura de Ishikawa;4.1;3;2023/05/05 08:37
2023/05/05 08:26;Región Noto, Prefectura de Ishikawa;4.2;3;2023/05/05 08:30
2023/05/05 08:05;Región Noto, Prefectura de Ishikawa;3.5;2;2023/05/05 08:12
2023/05/05 08:08;Región Noto, Prefectura de Ishikawa;3.8;3;2023/05/05 08:11
2023/05/05 08:03;Región Noto, Prefectura de Ishikawa;4.1;2;2023/05/05 08:07
2023/05/05 08:02;Región Noto, Prefectura de Ishikawa;3.8;2;2023/05/05 08:05
2023/05/05 07:58;Región Noto, Prefectura de Ishikawa;5.8;5+;2023/05/05 08:02
2023/05/05 07:38;Sudeste de Prefectura de Hyogo;2.7;2;2023/05/05 07:40
2023/05/05 07:34;Alta mar de Península de Noto;3.9;2;2023/05/05 07:37
2023/05/05 07:29;Región Noto, Prefectura de Ishikawa;2.7;1;2023/05/05 07:31
2023/05/05 07:25;Alta mar de Prefectura de Iwate;4.5;3;2023/05/05 07:29
2023/05/05 04:30;Región Noto, Prefectura de Ishikawa;2.8;1;2023/05/05 04:33
2023/05/05 04:22;Región Noto, Prefectura de Ishikawa;3.4;2;2023/05/05 04:26
2023/05/05 04:15;Región Noto, Prefectura de Ishikawa;2.9;1;2023/05/05 04:18
2023/05/05 04:11;Región Noto, Prefectura de Ishikawa;2.2;1;2023/05/05 04:15
2023/05/05 03:46;Región Noto, Prefectura de Ishikawa;3.5;2;2023/05/05 03:49
2023/05/05 03:38;Región Noto, Prefectura de Ishikawa;4.3;3;2023/05/05 03:43
2023/05/05 03:31;Región Noto, Prefectura de Ishikawa;2.4;1;2023/05/05 03:34
2023/05/05 03:01;Alta mar de Península de Noto;3.6;1;2023/05/05 03:03
2023/05/05 02:39;Región Noto, Prefectura de Ishikawa;3.0;1;2023/05/05 02:41
2023/05/05 02:24;Región Noto, Prefectura de Ishikawa;3.4;1;2023/05/05 02:26
2023/05/05 02:11;Región Noto, Prefectura de Ishikawa;3.7;2;2023/05/05 02:13
2023/05/05 02:07;Región Noto, Prefectura de Ishikawa;3.0;1;2023/05/05 02:09
2023/05/05 01:58;Alta mar de Península de Noto;2.5;1;2023/05/05 02:02
2023/05/05 01:48;Región Noto, Prefectura de Ishikawa;3.0;1;2023/05/05 01:51
2023/05/05 01:41;Región Noto, Prefectura de Ishikawa;3.3;2;2023/05/05 01:43
2023/05/05 01:32;Alta mar de Península de Noto;2.4;1;2023/05/05 01:35
2023/05/05 01:28;Alta mar de Península de Noto;3.2;1;2023/05/05 01:32
2023/05/05 01:27;Región Noto, Prefectura de Ishikawa;2.6;1;2023/05/05 01:30
2023/05/05 01:14;Región Noto, Prefectura de Ishikawa;3.6;2;2023/05/05 01:17
2023/05/05 01:06;Alta mar de Península de Noto;3.9;2;2023/05/05 01:09
2023/05/05 00:57;Alta mar de Península de Noto;3.6;2;2023/05/05 01:01
2023/05/05 00:53;Región Noto, Prefectura de Ishikawa;4.7;4;2023/05/05 00:57
2023/05/05 00:51;Región Noto, Prefectura de Ishikawa;3.8;1;2023/05/05 00:54
