prefectura,cantidad de contratos,monto asegurado,prima del seguro,cantidad de polizas en vigor,monto asegurado.1,year,idcountry
Hokkaido,356092,3082650,7030077,806318,7363120,2021,2
Aomori,66987,540895,1279328,143072,1237956,2021,2
Iwate,61203,587165,1378451,142609,1454489,2021,2
Miyagi,245963,2147149,7758799,543630,5317508,2021,2
Akita,43396,395870,1027096,106751,1022449,2021,2
Yamagata,47636,471735,1083950,107599,1134810,2021,2
Fukushima,128641,1217701,3999995,276232,2894203,2021,2
Ibaraki,182151,1776097,10190501,410256,4264061,2021,2
Tochigi,121575,1207954,2702137,281613,3046214,2021,2
Gumma,97862,927292,2236097,234732,2424579,2021,2
Saitama,498830,4284874,26388298,1162083,11100957,2021,2
Chiba,457200,3927555,29935892,1075345,10108480,2021,2
Tokyo,1235031,10316816,72312630,2795687,26700045,2021,2
Kanagawa,727105,6163420,44910045,1675443,15701269,2021,2
Niigata,102209,854535,2335952,238019,2365536,2021,2
Toyama,45065,489521,1339159,113456,1318953,2021,2
Ishikawa,58155,531967,1482648,146418,1520947,2021,2
Fukui,37879,404665,1105783,102737,1158000,2021,2
Yamanashi,49552,517075,2148592,133573,1461920,2021,2
Nagano,105762,1120370,2628186,242461,2782112,2021,2
Gifu,151503,1217250,2924497,341972,3397861,2021,2
Shizuoka,251299,2263196,15711097,537097,5557102,2021,2
Aichi,745576,5636287,19377951,1523475,14572680,2021,2
Mie,122902,1078266,3835112,263765,2633931,2021,2
Shiga,95879,912812,1904369,209517,2231572,2021,2
Kyoto,200811,1724615,3895498,451455,4363734,2021,2
Osaka,764595,6422161,20837516,1679955,15861230,2021,2
Hyogo,375298,3318475,7090926,870882,8714468,2021,2
Nara,84271,830162,1929683,208333,2221848,2021,2
Wakayama,57990,514144,2087289,144153,1378408,2021,2
Tottori,28644,261948,714582,74103,739449,2021,2
Shimane,24601,221035,630016,62163,645380,2021,2
Okayama,104221,1005685,2309633,256055,2705498,2021,2
Hiroshima,178639,1662079,3955552,454308,4659506,2021,2
Yamaguchi,76405,692172,1609026,195354,1948297,2021,2
Tokushima,45838,360872,2385381,109372,1055752,2021,2
Kagawa,63919,581537,2307702,161035,1659130,2021,2
Ehime,75107,703413,2822403,192705,1945529,2021,2
Kochi,39558,354397,2224115,99042,969453,2021,2
Fukuoka,387728,2972370,6921041,969759,8826995,2021,2
Saga,37393,328829,843722,98449,954926,2021,2
Nagasaki,51619,413886,1027905,129243,1164852,2021,2
Kumamoto,127900,1031458,2877192,350801,3345297,2021,2
Oita,58909,525818,2134684,159554,1552750,2021,2
Miyazaki,56768,465610,1948350,155135,1397433,2021,2
Kagoshima,86043,709083,1847703,247093,2220567,2021,2
Okinawa,53376,475160,1453262,121259,1314277,2021,2
Hokkaido,375407,3211022,7182938,783447,7028598,2020,2
Aomori,69678,560604,1325779,139010,1180803,2020,2
Iwate,61769,579217,1285108,138759,1381317,2020,2
Miyagi,230357,2002503,6678913,533068,5102741,2020,2
Akita,47470,430165,994108,103941,978009,2020,2
Yamagata,50326,490291,1023441,103648,1075281,2020,2
Fukushima,120732,1137727,3295083,263359,2719601,2020,2
Ibaraki,182540,1748432,8773935,401308,4112808,2020,2
Tochigi,126636,1231914,2485020,272559,2904444,2020,2
Gumma,103654,970276,2089843,226008,2301873,2020,2
Saitama,524206,4514537,24250864,1140818,10757444,2020,2
Chiba,488134,4184518,28525820,1055185,9791556,2020,2
Tokyo,1315772,11088614,70293745,2785895,26143689,2020,2
Kanagawa,770317,6578053,43428737,1651711,15293676,2020,2
Niigata,105568,894236,2441127,229923,2252000,2020,2
Toyama,47095,501402,1233155,109656,1257272,2020,2
Ishikawa,59379,547328,1377893,141687,1452935,2020,2
Fukui,42163,453749,1103629,98738,1102514,2020,2
Yamanashi,54410,565298,2046275,130705,1420599,2020,2
Nagano,110935,1168374,2491274,232879,2630543,2020,2
Gifu,169421,1397571,3368416,331846,3260862,2020,2
Shizuoka,265892,2352979,14845208,528415,5413928,2020,2
Aichi,802949,6001275,22280784,1481320,13943695,2020,2
Mie,133507,1173036,4447296,256636,2521973,2020,2
Shiga,98800,958496,1865684,201042,2116964,2020,2
Kyoto,212789,1878324,4222453,438739,4179313,2020,2
Osaka,812575,7084288,23001818,1634571,15193841,2020,2
Hyogo,393371,3587781,7677656,841955,8298970,2020,2
Nara,91655,920214,2120714,202489,2139179,2020,2
Wakayama,64898,588298,2454169,138767,1312716,2020,2
Tottori,30302,270230,668479,71694,703937,2020,2
Shimane,25246,224820,594672,59695,613893,2020,2
Okayama,107141,1029897,2163100,247136,2553053,2020,2
Hiroshima,187993,1764333,3802669,443509,4475371,2020,2
Yamaguchi,84024,761149,1612106,191657,1885098,2020,2
Tokushima,49647,403184,2334348,107959,1027532,2020,2
Kagawa,66515,613341,2170805,158037,1610785,2020,2
Ehime,77978,728786,2845701,187321,1865212,2020,2
Kochi,41484,373695,2049962,98013,942406,2020,2
Fukuoka,433525,3452843,7358971,953738,8524297,2020,2
Saga,41777,370726,836921,94491,901529,2020,2
Nagasaki,56458,460000,986299,125660,1113754,2020,2
Kumamoto,137759,1162890,2954493,347298,3257966,2020,2
Oita,65977,590121,2083324,155102,1488980,2020,2
Miyazaki,66731,555795,1966215,153577,1367345,2020,2
Kagoshima,101456,829599,1914653,244653,2160687,2020,2
Okinawa,53571,490187,1359502,117838,1260854,2020,2
Hokkaido,377116,3245771,7224752,751714,6634987,2019,2
Aomori,69687,554687,1319268,134375,1114221,2019,2
Iwate,61442,562530,1193627,134787,1305205,2019,2
Miyagi,237383,2044397,6572343,527076,4946899,2019,2
Akita,47343,421903,926598,100845,934345,2019,2
Yamagata,49934,485566,983130,99649,1016557,2019,2
Fukushima,118908,1106533,2983951,253015,2573657,2019,2
Ibaraki,181128,1715677,7959106,387236,3916801,2019,2
Tochigi,126094,1224395,2357075,260366,2733168,2019,2
Gumma,103434,972533,1954155,214516,2153004,2019,2
Saitama,521136,4434782,21958524,1107098,10289737,2019,2
Chiba,472537,4001406,25558783,1020083,9330348,2019,2
Tokyo,1328141,11098587,66187227,2748861,25381775,2019,2
Kanagawa,757317,6403364,39783277,1610995,14721273,2019,2
Niigata,103988,902748,2434928,221372,2139238,2019,2
Toyama,46515,496752,1158004,104854,1191366,2019,2
Ishikawa,59134,553613,1338353,135850,1371417,2019,2
Fukui,40637,435495,1013694,93646,1035096,2019,2
Yamanashi,54962,567447,1921735,126779,1366410,2019,2
Nagano,108042,1130347,2268001,220378,2452336,2019,2
Gifu,158339,1345733,3204556,320142,3094641,2019,2
Shizuoka,264725,2363640,14174719,518266,5239456,2019,2
Aichi,763609,5869711,22492063,1438985,13271281,2019,2
Mie,129876,1140641,4410583,247858,2384854,2019,2
Shiga,97353,943938,1752227,190749,1978219,2019,2
Kyoto,215317,1915476,4293206,421075,3942852,2019,2
Osaka,825146,7216572,23106281,1568903,14336555,2019,2
Hyogo,391885,3575437,7582254,805560,7834465,2019,2
Nara,92785,926207,2148200,194601,2032271,2019,2
Wakayama,64511,580844,2449370,131497,1231673,2019,2
Tottori,29130,260115,623768,69025,666091,2019,2
Shimane,24228,219381,544621,57083,580457,2019,2
Okayama,106546,1007853,2045289,234914,2377972,2019,2
Hiroshima,188859,1753807,3612660,430524,4256665,2019,2
Yamaguchi,82797,750051,1511851,186122,1810452,2019,2
Tokushima,52061,387376,2090727,107799,995378,2019,2
Kagawa,66784,598964,1997506,154105,1547977,2019,2
Ehime,78542,722271,2767326,180743,1772765,2019,2
Kochi,42671,377347,1921664,97034,915662,2019,2
Fukuoka,427822,3469126,6917921,931108,8184355,2019,2
Saga,40768,368288,769682,89143,841802,2019,2
Nagasaki,53695,447216,926808,119981,1051349,2019,2
Kumamoto,160468,1442015,3076633,339564,3131920,2019,2
Oita,63326,573389,1934760,150265,1432046,2019,2
Miyazaki,66160,550069,1821805,150103,1320455,2019,2
