id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
32,6582,11870,15411,11271,22402,3,2019,2
33,38210,80200,113010,74573,168617,3,2019,2
34,64978,149034,211585,127535,310405,3,2019,2
35,25815,52962,75791,50529,114150,3,2019,2
36,23637,36805,91812,36360,68870,3,2019,2
37,24702,53277,104438,46704,109877,3,2019,2
38,23064,47908,114196,46000,102788,3,2019,2
39,14585,29778,90911,28567,64819,3,2019,2
40,184382,366636,535469,366028,785918,3,2019,2
41,13128,27980,37476,24737,56259,3,2019,2
42,16215,34727,52004,33145,75576,3,2019,2
43,45941,99365,150518,91896,219476,3,2019,2
44,19496,38266,85660,39496,84996,3,2019,2
45,17987,35771,79070,35742,76385,3,2019,2
46,30484,61774,94669,61550,132922,3,2019,2
47,32159,53913,115719,60903,110061,3,2019,2
1,96178,226066,671904,194248,468527,4,2019,2
2,23984,47289,142337,47242,98981,4,2019,2
3,17911,43352,108344,38249,97011,4,2019,2
4,72294,188111,775057,157190,441923,4,2019,2
5,16220,38275,100756,35844,89431,4,2019,2
6,14622,38613,97487,31776,85292,4,2019,2
7,34967,98570,344614,77145,224137,4,2019,2
8,49502,129306,865023,115920,312464,4,2019,2
9,39397,106089,249827,85129,226318,4,2019,2
10,35839,91260,220152,77384,195265,4,2019,2
11,128828,332812,2171814,290950,771175,4,2019,2
12,101312,246344,2004333,219169,565192,4,2019,2
13,207514,498008,3814593,415067,1070319,4,2019,2
14,145754,371407,2922797,308711,818570,4,2019,2
15,41902,88310,290566,88296,205181,4,2019,2
16,16328,41952,113153,39045,101264,4,2019,2
17,19163,43621,120749,45694,105018,4,2019,2
18,13040,33867,95872,31918,83403,4,2019,2
19,15386,37691,162475,35979,88017,4,2019,2
20,32500,85068,211680,70918,187127,4,2019,2
21,41405,95638,303975,91348,216798,4,2019,2
22,58920,141714,1147903,126608,325924,4,2019,2
23,135427,302938,1629739,274227,652644,4,2019,2
24,27710,63536,349038,55998,134288,4,2019,2
25,19892,47658,117958,42187,102920,4,2019,2
26,46919,125207,377003,94652,257557,4,2019,2
27,138555,385109,1761027,267348,749531,4,2019,2
28,67185,174415,528462,140288,369909,4,2019,2
29,23382,67830,209467,49874,147167,4,2019,2
30,15097,36380,210641,31859,78260,4,2019,2
31,7773,19078,56671,19604,49360,4,2019,2
32,7424,17108,49713,18261,44678,4,2019,2
33,25742,68788,184749,57580,157360,4,2019,2
34,39673,106784,273390,87370,235734,4,2019,2
35,17321,43005,119325,40671,102709,4,2019,2
36,9675,20401,160647,22534,50297,4,2019,2
37,14625,37316,170620,36618,95796,4,2019,2
38,19900,47998,249857,45863,110625,4,2019,2
39,9499,23014,182704,22677,56350,4,2019,2
40,83237,199469,520102,181152,450409,4,2019,2
41,11549,28697,78370,26578,67280,4,2019,2
42,14604,32741,88730,33111,77635,4,2019,2
43,53632,136539,360761,118188,305890,4,2019,2
44,12595,30567,142578,31197,76353,4,2019,2
45,18228,43383,188608,41986,102104,4,2019,2
46,29821,65384,169850,65645,146505,4,2019,2
47,701,1182,5747,1422,2398,4,2019,2
1,106818,1367060,2283089,238133,3073405,1,2020,2
2,11414,159477,245687,24611,341888,1,2020,2
3,13249,188072,300744,33808,479630,1,2020,2
4,56831,847842,2059862,157169,2220421,1,2020,2
5,7719,107220,163154,17500,237384,1,2020,2
6,10864,149664,216895,23429,344060,1,2020,2
7,25838,417960,775035,66944,1045319,1,2020,2
8,51960,709292,2344884,125176,1756320,1,2020,2
9,32975,494266,745241,82517,1230622,1,2020,2
10,24919,353917,549560,60168,868048,1,2020,2
11,162657,1921699,8076120,395724,4892521,1,2020,2
12,159269,1831653,10495867,392189,4574811,1,2020,2
13,559512,6780757,39711693,1368798,16718114,1,2020,2
14,304449,3291891,19236291,736532,8229025,1,2020,2
15,19618,285735,519181,50439,730180,1,2020,2
16,8926,135201,218952,22223,341607,1,2020,2
17,10877,164418,281026,28734,436811,1,2020,2
